50000,4500
60000,5200
70000,5800
80000,6400
90000,7000
100000,7600
200000,13800
300000,20000
400000,26200
500000,32300
600000,38500
700000,44700
800000,50900
900000,57000
1000000,63200
1200000,75600
1400000,87900
1600000,100300
1800000,112600
2000000,125000
2250000,140400
2500000,155900
2750000,171300
3000000,186800
3500000,217600
4000000,248500
4500000,279400
5000000,310300
